STATION,DATE,PRCP,SNOW,TMAX,TMIN
USC00283704,1/1/2022,0.07,0,54,47
USC00283704,1/2/2022,0.89,0,55,50
USC00283704,1/3/2022,0,0,60,30
USC00283704,1/4/2022,0,0,30,18
USC00283704,1/5/2022,0.03,0,35,18
USC00283704,1/6/2022,0.14,0,45,33
USC00283704,1/7/2022,0.29,5.8,39,27
USC00283704,1/8/2022,0,0,33,18
USC00283704,1/9/2022,0,0,30,19
USC00283704,1/10/2022,0.1,0,39,28
USC00283704,1/11/2022,0,0,30,14
USC00283704,1/12/2022,0,0,23,15
USC00283704,1/13/2022,0,0,33,22
USC00283704,1/14/2022,0,0,48,33
USC00283704,1/15/2022,0,0,44,10
USC00283704,1/16/2022,0,0,21,6
USC00283704,1/17/2022,1.69,1,43,7
USC00283704,1/18/2022,0,0,42,29
USC00283704,1/19/2022,0,0,37,24
USC00283704,1/20/2022,0.25,0,50,30
USC00283704,1/21/2022,0.04,0,36,13
USC00283704,1/22/2022,0,0,23,11
USC00283704,1/23/2022,0,0,30,11
USC00283704,1/24/2022,0.02,0.2,36,23
USC00283704,1/25/2022,0,0,33,26
USC00283704,1/26/2022,0,0,43,19
USC00283704,1/27/2022,0,0,27,14
USC00283704,1/28/2022,0,0,33,15
USC00283704,1/29/2022,0.15,4.2,33,18
USC00283704,1/30/2022,0.12,3,18,11
USC00283704,1/31/2022,0,0,25,12
USC00283704,2/1/2022,0,0,33,16
USC00283704,2/2/2022,0,0,37,18
USC00283704,2/3/2022,0.05,0,47,32
USC00283704,2/4/2022,0.73,0,57,41
USC00283704,2/5/2022,0.64,0,51,21
USC00283704,2/6/2022,0,0,28,15
USC00283704,2/7/2022,0,0,29,15
USC00283704,2/8/2022,0.12,0,36,29
USC00283704,2/9/2022,0,0,46,26
USC00283704,2/10/2022,0,0,45,30
USC00283704,2/11/2022,0,0,54,31
USC00283704,2/12/2022,0,0,60,38
USC00283704,2/13/2022,0.18,2,60,30
USC00283704,2/14/2022,0.05,0.7,32,15
USC00283704,2/15/2022,0,0,24,15
USC00283704,2/16/2022,0,0,30,15
USC00283704,2/17/2022,0,0,54,27
USC00283704,2/18/2022,0.73,0,69,54
USC00283704,2/19/2022,0,0,59,24
USC00283704,2/20/2022,0,0,40,19
USC00283704,2/21/2022,0,0,36,21
USC00283704,2/22/2022,0,0,54,32
USC00283704,2/23/2022,0.23,0,62,36
USC00283704,2/24/2022,0,0,69,29
USC00283704,2/25/2022,0.45,0.2,34,29
USC00283704,2/26/2022,0.48,0,40,23
USC00283704,2/27/2022,0,0,38,23
USC00283704,2/28/2022,0,0,47,24
USC00283704,3/1/2022,0,0,36,26
USC00283704,3/2/2022,0,0,46,30
USC00283704,3/3/2022,0.05,0,52,38
USC00283704,3/4/2022,0,0,42,19
USC00283704,3/5/2022,0,0,38,19
USC00283704,3/6/2022,0,0,49,28
USC00283704,3/7/2022,0.06,0,68,49
USC00283704,3/8/2022,0.1,0,75,39
USC00283704,3/9/2022,0,0,50,37
USC00283704,3/10/2022,0.52,0.5,38,31
USC00283704,3/11/2022,0,0,51,31
USC00283704,3/12/2022,0.05,0,55,39
USC00283704,3/13/2022,0.25,0.5,45,21
USC00283704,3/14/2022,0,0,34,22
USC00283704,3/15/2022,0,0,57,33
USC00283704,3/16/2022,0,0,70,43
USC00283704,3/17/2022,0.01,0,67,44
USC00283704,3/18/2022,0.11,0,54,45
USC00283704,3/19/2022,0,0,76,48
USC00283704,3/20/2022,0.06,0,70,52
USC00283704,3/21/2022,0,0,59,43
USC00283704,3/22/2022,0,0,62,43
USC00283704,3/23/2022,0,0,59,39
USC00283704,3/24/2022,0.5,0,47,38
USC00283704,3/25/2022,0.25,0,46,40
USC00283704,3/26/2022,0,0,61,46
USC00283704,3/27/2022,0,0,50,38
USC00283704,3/28/2022,0,0,45,22
USC00283704,3/29/2022,0,0,31,23
USC00283704,3/30/2022,0,0,37,24
USC00283704,3/31/2022,0,0,47,31
USC00283704,4/1/2022,0.49,0,70,43
USC00283704,4/2/2022,0.01,0,57,38
USC00283704,4/3/2022,0,0,54,38
USC00283704,4/4/2022,0.13,0,47,38
USC00283704,4/5/2022,0,0,54,42
USC00283704,4/6/2022,0.5,0,54,43
USC00283704,4/7/2022,0.24,0,51,46
USC00283704,4/8/2022,1.41,0,53,46
USC00283704,4/9/2022,0,0,65,46
USC00283704,4/10/2022,0.11,0,56,44
USC00283704,4/11/2022,0,0,50,38
USC00283704,4/12/2022,0,0,59,38
USC00283704,4/13/2022,0,0,73,51
USC00283704,4/14/2022,0,0,70,55
USC00283704,4/15/2022,0.05,0,87,48
USC00283704,4/16/2022,0,0,71,50
USC00283704,4/17/2022,0.28,0,72,40
USC00283704,4/18/2022,0,0,50,36
USC00283704,4/19/2022,1.75,0,53,36
USC00283704,4/20/2022,0,0,49,39
USC00283704,4/21/2022,0,0,60,45
USC00283704,4/22/2022,0,0,61,47
USC00283704,4/23/2022,0,0,70,49
USC00283704,4/24/2022,0,0,65,50
USC00283704,4/25/2022,0,0,65,45
USC00283704,4/26/2022,0,0,58,50
USC00283704,4/27/2022,0.02,0,63,47
USC00283704,4/28/2022,0,0,58,39
USC00283704,4/29/2022,0,0,56,39
USC00283704,4/30/2022,0,0,63,41
USC00283704,5/1/2022,0,0,69,43
USC00283704,5/2/2022,0.26,0,66,44
USC00283704,5/3/2022,0.02,0,55,49
USC00283704,5/4/2022,0.12,0,65,49
USC00283704,5/5/2022,0.05,0,66,51
USC00283704,5/6/2022,0,0,76,57
USC00283704,5/7/2022,1.56,0,61,50
USC00283704,5/8/2022,0.85,0,50,44
USC00283704,5/9/2022,0.02,0,61,44
USC00283704,5/10/2022,0,0,71,47
USC00283704,5/11/2022,0,0,74,52
USC00283704,5/12/2022,0,0,77,53
USC00283704,5/13/2022,0,0,77,59
USC00283704,5/14/2022,0.11,0,74,59
USC00283704,5/15/2022,0.43,0,73,59
USC00283704,5/16/2022,0,0,78,60
USC00283704,5/17/2022,0.06,0,80,57
USC00283704,5/18/2022,0,0,79,55
USC00283704,5/19/2022,0.96,0,70,54
USC00283704,5/20/2022,0,0,68,53
USC00283704,5/21/2022,0.15,0,75,54
USC00283704,5/22/2022,0,0,96,63
USC00283704,5/23/2022,0,0,96,60
USC00283704,5/24/2022,0,0,77,60
USC00283704,5/25/2022,0,0,69,53
USC00283704,5/26/2022,0,0,73,55
USC00283704,5/27/2022,0,0,77,61
USC00283704,5/28/2022,1.55,0,80,64
USC00283704,5/29/2022,0.24,0,74,58
USC00283704,5/30/2022,0,0,81,61
USC00283704,5/31/2022,0,0,92,63
USC00283704,6/1/2022,0,0,98,60
USC00283704,6/2/2022,0.9,0,73,61
USC00283704,6/3/2022,0.16,0,85,65
USC00283704,6/4/2022,0,0,78,58
USC00283704,6/5/2022,0,0,86,58
USC00283704,6/6/2022,0,0,81,58
USC00283704,6/7/2022,0,0,82,61
USC00283704,6/8/2022,0.12,0,83,63
USC00283704,6/9/2022,0.87,0,86,68
USC00283704,6/10/2022,0,0,84,61
USC00283704,6/11/2022,0,0,71,64
USC00283704,6/12/2022,0,0,79,64
USC00283704,6/13/2022,0.03,0,75,65
USC00283704,6/14/2022,0,0,89,67
USC00283704,6/15/2022,0,0,86,65
USC00283704,6/16/2022,0,0,81,64
USC00283704,6/17/2022,0.43,0,75,64
USC00283704,6/18/2022,0,0,94,64
USC00283704,6/19/2022,0,0,76,54
USC00283704,6/20/2022,0,0,74,54
USC00283704,6/21/2022,0,0,81,60
USC00283704,6/22/2022,0.09,0,82,64
USC00283704,6/23/2022,0.09,0,68,62
USC00283704,6/24/2022,0.01,0,77,63
USC00283704,6/25/2022,0,0,88,66
USC00283704,6/26/2022,0,0,94,71
USC00283704,6/27/2022,0,0,94,72
USC00283704,6/28/2022,0.14,0,80,66
USC00283704,6/29/2022,0,0,81,62
USC00283704,6/30/2022,0,0,88,67
USC00283704,7/1/2022,0,0,90,70
USC00283704,7/2/2022,0,0,97,78
USC00283704,7/3/2022,0,0,93,75
USC00283704,7/4/2022,0,0,90,64
USC00283704,7/5/2022,0,0,88,71
USC00283704,7/6/2022,0.05,0,92,75
USC00283704,7/7/2022,0,0,87,73
USC00283704,7/8/2022,0,0,86,68
USC00283704,7/9/2022,0.02,0,83,71
USC00283704,7/10/2022,0,0,88,66
USC00283704,7/11/2022,0,0,85,66
USC00283704,7/12/2022,0,0,88,69
USC00283704,7/13/2022,0,0,95,74
USC00283704,7/14/2022,0,0,94,72
